146;2;Lawrence Halprin;0;7.94979721616;0;0.0
146;34;James Park;0;10.3106512173;0;0.0
146;13;Bryant Park Bryant Park;0;12.0052469381;1;0.0
146;34;San Jose;0;10.3106512173;0;0.0
146;13;Lynden B Miller;0;12.0052469381;1;0.0
146;20;Frank Lloyd Wright;0;8.28626945278;0;0.0
146;11;Jay Gomez;0;8.11342663994;1;0.0
167;10;Akiko Suwanai;0;3.68887945411;0;1.84443972706
167;14;Gheorghe Hagi;0;3.68887945411;0;0.0
167;10;Deborah Voigt;0;3.68887945411;0;1.84443972706
167;10;Tchaikovsky;0;3.68887945411;0;1.84443972706
167;10;Boris Berezovski;0;3.68887945411;0;1.84443972706
167;11;Parcells;0;3.68887945411;0;0.0
167;10;Ms Voigt;0;3.68887945411;0;0.0
167;10;Hans Choi;0;3.68887945411;0;1.84443972706
167;10;Gustav Rivinius;0;3.68887945411;0;1.84443972706
93;13;Gandhi;1;4.15888308336;0;0.0
93;11;Dalai Lama;0;3.4657359028;2;0.0
93;25;Rajiv Gandhis;0;4.85203026392;2;0.0
93;12;Jawalharlal Nehru;0;2.77258872224;1;1.38629436112
93;12;Rajiv Gandhi;0;3.4657359028;2;0.0
93;14;Rao;1;3.4657359028;2;0.0
93;12;Chou Enlai;0;2.77258872224;1;1.38629436112
224;6;Jake;0;10.6816649823;3;8.36392721454
224;4;Jake;0;10.6816649823;3;0.0
224;29;Jake;0;12.1167495076;3;0.0
224;6;William Conrad;0;16.7278544291;7;5.34083249114
224;6;Joe Penny;0;16.7278544291;7;5.34083249114
224;8;George Bush;0;10.6816649823;3;0.0
224;1;Jake;0;8.37907988929;3;0.0
224;17;Jake;0;10.6816649823;3;0.0
224;6;Jake Styles;0;16.7278544291;7;5.34083249114
224;11;Viet Nam;0;10.6816649823;3;0.0
224;6;Jake;0;16.7278544291;7;5.34083249114
224;17;Murphy Brown;0;10.6816649823;3;0.0
224;1;Silverman;0;8.37907988929;3;0.0
224;6;Penny;1;10.6816649823;3;8.36392721454
224;11;Jake;0;10.6816649823;3;0.0
224;8;Jake;0;10.6816649823;3;0.0
224;11;William Cannon Conrad;0;10.6816649823;3;0.0
215;3;Magdalena Ortega;0;8.4091624472;2;0.0
215;3;Maria Prado;0;8.4091624472;2;0.0
215;3;Gilroy;0;8.4091624472;2;0.0
215;20;Robert Stewart;0;10.0997120145;2;0.0
240;3;Finlay Calder;0;10.9612778467;0;0.0
137;33;Ettore DiVito;0;4.60517018599;1;0.0
137;24;Hawaiis;0;5.54517744448;4;0.0
137;36;David Callies;0;4.60517018599;1;0.0
192;38;Wednesday;0;10.8765366182;0;0.0
192;36;today;0;10.1143965662;1;0.0
192;2;may;0;10.3657109945;2;0.0
107;39;Langley;0;7.52779398772;0;0.0
107;10;Freddie Roberts;0;6.87935580446;0;0.0
107;4;Huffman;0;6.75460409949;0;0.0
107;4;Wright;1;8.25868149626;0;0.0
107;39;Wright;1;7.52779398772;0;0.0
107;4;Wright;1;6.75460409949;0;0.0
162;5;Pharaoh Zozer;0;6.51471269087;0;0.0
162;5;Imhotep;0;6.51471269087;0;0.0
162;37;Philippe Auguste;0;8.08332860879;0;0.0
162;36;Sidney Shlenker;0;9.69276652122;1;0.0
